Model,Project,Accuracy,Precision,Recall,F1,AUC
GaussianNB,pytorch,0.7049668874172186,0.6114158957416919,0.7268127274527746,0.5949908808631909,0.7268127274527746
GaussianNB,tensorflow,0.6369127516778523,0.6406021357928708,0.7299875853799012,0.5985277374024264,0.7299875853799012
GaussianNB,keras,0.7350746268656717,0.6461661546975586,0.7050049880807917,0.6536688377050112,0.7050049880807917
GaussianNB,incubator-mxnet,0.7038461538461538,0.6119156148041452,0.7271469445269615,0.5952364681902179,0.7271469445269615
GaussianNB,caffe,0.7836206896551724,0.5653427286261463,0.6017369752811624,0.5638971358720398,0.6017369752811624
MultinomialNB,pytorch,0.8794701986754967,0.7807193518881052,0.5496922986573929,0.5573256987014491,0.5496922986573929
MultinomialNB,tensorflow,0.803020134228188,0.6855768785828901,0.6972627626502308,0.6884591495604224,0.6972627626502308
MultinomialNB,keras,0.8332089552238806,0.7748466547905078,0.6091641520321035,0.6303470135941165,0.6091641520321036
MultinomialNB,incubator-mxnet,0.8740384615384615,0.6580443142839923,0.5443311552217315,0.5435696629942358,0.5443311552217315
MultinomialNB,caffe,0.8982758620689655,0.6238505747126438,0.5292261904761905,0.5226281234767474,0.5292261904761905
LogisticRegression,pytorch,0.8913907284768211,0.7907375287711407,0.6396183949471781,0.6744490389417657,0.6396183949471781
LogisticRegression,tensorflow,0.8756711409395974,0.8353497680866093,0.7159195183023823,0.752182605515123,0.7159195183023823
LogisticRegression,keras,0.8514925373134329,0.8070500164892346,0.6666862749540508,0.6983062057720533,0.6666862749540508
LogisticRegression,incubator-mxnet,0.8966346153846155,0.8724938441403985,0.6172070845588655,0.6534461231682837,0.6172070845588655
LogisticRegression,caffe,0.9137931034482758,0.8488015738798407,0.615412001520492,0.6526356167902405,0.615412001520492
LinearSVM,pytorch,0.880794701986755,0.7800282841177886,0.6683092559164989,0.6815455840857436,0.6683092559164989
LinearSVM,tensorflow,0.8921140939597316,0.841410087379361,0.7842705602237408,0.8068148061124536,0.7842705602237408
LinearSVM,keras,0.8052238805970149,0.755010359580854,0.6937202737409637,0.6842306996411331,0.6937202737409637
LinearSVM,incubator-mxnet,0.8716346153846153,0.7362779554095894,0.6438078090344971,0.6525947781386937,0.6438078090344971
LinearSVM,caffe,0.8112068965517242,0.6565213022666673,0.6025263772457863,0.562794522352049,0.6025263772457863
RandomForest,pytorch,0.8847682119205297,0.8483622924765571,0.5545180458892878,0.5654620986486988,0.5545180458892878
RandomForest,tensorflow,0.8659395973154362,0.8547582315039393,0.6687344229608427,0.7078287146689226,0.6687344229608427
RandomForest,keras,0.8597014925373134,0.8350384150803423,0.6780419326050622,0.7129220067749593,0.6780419326050622
RandomForest,incubator-mxnet,0.8769230769230768,0.7345967023304711,0.5416900402851723,0.5417448881134381,0.5416900402851723
RandomForest,caffe,0.8931034482758621,0.4715214761040533,0.505,0.4799972136130609,0.505
